Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown Toronto,43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Balzac's Coffee,43.649797141476185,-79.35914199644303,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
Downtown Toronto,43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
Downtown Toronto,43.6542599,-79.3606359,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
Downtown Toronto,43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
Downtown Toronto,43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
Downtown Toronto,43.6542599,-79.3606359,Spotify,43.64991916262922,-79.35886149447444,Tech Startup
Downtown Toronto,43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
Downtown Toronto,43.6542599,-79.3606359,LCBO,43.65098233828489,-79.36536081685296,Liquor Store
Downtown Toronto,43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
Downtown Toronto,43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
Downtown Toronto,43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
Downtown Toronto,43.6542599,-79.3606359,Berkeley Street Theatre,43.65051724574011,-79.36417258802608,Theater
Downtown Toronto,43.6542599,-79.3606359,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
Downtown Toronto,43.6542599,-79.3606359,Starbucks,43.651225,-79.367983,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
Downtown Toronto,43.6542599,-79.3606359,The Black Canary Espresso Bar,43.651868733003134,-79.36850642387674,Café
Downtown Toronto,43.6542599,-79.3606359,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
Downtown Toronto,43.6542599,-79.3606359,Fusaro's,43.65334679826618,-79.36951731755141,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter
Downtown Toronto,43.6542599,-79.3606359,NEO COFFEE BAR,43.65070234158804,-79.36925939681731,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
Downtown Toronto,43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
Downtown Toronto,43.6542599,-79.3606359,Merchants of Green Coffee,43.659916,-79.353963,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
Downtown Toronto,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.65849807585409,-79.35235639621163,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909016,Greek Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
Downtown Toronto,43.6542599,-79.3606359,FAMO Sandwiches,43.654064,-79.369515,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,EQ3,43.65129553904327,-79.36825667378011,Furniture / Home Store
Downtown Toronto,43.6542599,-79.3606359,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
Downtown Toronto,43.6542599,-79.3606359,The George Street Diner,43.65297,-79.371467,Diner
Downtown Toronto,43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
Downtown Toronto,43.6542599,-79.3606359,White Lily Diner,43.65867460038718,-79.35107379221633,Diner
Downtown Toronto,43.6542599,-79.3606359,Schnitzel Queen,43.65423906004429,-79.37053284604036,German Restaurant
Downtown Toronto,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
Downtown Toronto,43.6542599,-79.3606359,Berkeley Bistro,43.64995993956305,-79.36388845370516,Gastropub
Downtown Toronto,43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
Downtown Toronto,43.6542599,-79.3606359,Quad East,43.65868140211272,-79.35127335463245,Gym / Fitness Center
Downtown Toronto,43.6542599,-79.3606359,Bulk Barn,43.64999368528393,-79.37009943145777,Grocery Store
Downtown Toronto,43.6542599,-79.3606359,Fahrenheit Coffee,43.65238358726612,-79.37271903848271,Coffee Shop
Downtown Toronto,43.6542599,-79.3606359,The Poet Cafe,43.65063683072023,-79.37127573699792,Café
Downtown Toronto,43.6542599,-79.3606359,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
